ID,Titre,Genre,Pays_origine,Budget,Recettes,Nombre_votes,Note_moyenne,Realisateurs,Acteurs_principaux,Date_sortie
3072,Swallow,Drame Thriller,,0.0,0.0,565.0,6.7,,,2020
3073,Swan Song,Drame Science-Fiction,,0.0,0.0,381.0,7.3,Todd Stephens,"Udo Kier, Jennifer Coolidge, Linda Evans",2021
3074,Sweat,Drame Thriller,,1619835.0,11546.0,59.0,6.5,,,2021
3075,Sweet & Sour,Drame Romance Comédie,South Korea,0.0,0.0,340.0,7.76,Lee Kae-byeok,"장기용, Soo-bin Chae, 정수정, Lee Woo-je, Park Cheol-min",2021
3076,Sweet Girl,Action Thriller Drame,United States of America,0.0,0.0,2250.0,6.67,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona",2021
3077,Swimming for Gold,Familial,,0.0,0.0,650.0,7.8,Hayley MacFarlane,"Peyton List, Lauren Esposito, Daniel Needs",2020
3078,Sword Art Online - Progressive - Aria of a Starless Night,Animation Action Fantastique Science-Fiction,Japan,0.0,14037060.0,487.0,7.98,河野亜矢子,"Yoshitsugu Matsuoka, Haruka Tomatsu, Inori Minase, Kōichi Yamadera, Hiroki Yasumoto",2021
3079,Sylvie's Love,Romance Drame,,0.0,0.0,73.0,6.4,,,2020
3080,Synchronic,Science-Fiction Drame Thriller Horreur,United States of America,0.0,1019041.0,1527.0,6.29,"Aaron Moorhead, Justin Benson","Anthony Mackie, Jamie Dornan, Katie Aselton, Alexia Ioannides, Ramiz Monsef",2020
3081,"Tad, the Lost Explorer and the Emerald Tablet",Animation Aventure Familial Comédie Fantastique,,0.0,0.0,266.0,7.63,,,2022
3082,Tahara,Drame Comédie,,120000.0,0.0,404.0,6.0,Olivia Peace,"Madeline Grey DeFreece, Rachel Sennott, Daniel Taveras",2022
3083,Take Me Home,Documentaire,,75000.0,0.0,0.0,,,,2020
3084,Take the Night,Drame Policier Thriller,,1000000.0,0.0,12.0,6.4,Seth McTigue,"Seth McTigue, Roy Huang, Brennan Keel Cook",2022
3085,Takeout,Documentaire,,200000.0,0.0,121.0,7.0,Michal Siewierski,"Jason Stephens, Glenn Hurowitz, Neal Barnard",2020
3086,Tale of the Sleeping Giant,Documentaire,,1312000.0,0.0,4.0,7.3,,,2020
3087,Tales from the Other Side,Horreur,,500000.0,0.0,5.0,3.4,,,2022
3088,Tall Girl 2,Comédie Romance,,24393503.0,0.0,292.0,5.82,,,2022
3089,Tango Shalom,Comédie Familial,,0.0,101449.0,4.0,6.8,,,2021
3090,Tank Cleaner,Thriller Drame Policier,,500000.0,0.0,3.0,9.0,,,2021
3091,Tarapaty 2,Familial Aventure,,0.0,253263.0,88.0,5.1,Marta Karwowska,"Pola Król, Jakub Janota-Bzowski, Mia Goti",2020
3092,Target Number One,Thriller Policier,,138000.0,0.0,96.0,6.3,,,2020
3093,Tattness: The Other Side of Hell: The Documentary,Documentaire,,5000.0,1000000.0,0.0,,,,2020
3094,Tawam Rouhy,Romance,,0.0,66310.0,3.0,5.7,,,2020
3095,Taylor Tomlinson: Quarter-Life Crisis,Comédie,,0.0,0.0,76.0,7.3,,,2020
3096,Tear Us Apart,Thriller Horreur,,100000.0,0.0,1.0,4.0,,,2020
3097,Teasing Master Takagi-san: The Movie,Animation Comédie Romance,,0.0,0.0,91.0,8.53,,,2022
3098,Ted Bundy: American Boogeyman,Thriller Policier,,0.0,0.0,64.0,7.0,,,2021
3099,Ted K,Drame Policier Thriller,,0.0,0.0,79.0,6.2,,,2021
3100,Teddy,Comédie Drame Horreur,,0.0,142027.0,74.0,6.3,"Ludovic Boukherma, Zoran Boukherma","Anthony Bajon, Christine Gautier, Ludovic Torrent",2020
3101,Teddy,Comédie Drame Horreur,,0.0,142027.0,74.0,6.4,Shakti Soundar Rajan,"Arya, Sayyeshaa Saigal, Sakshi Agarwal",2020
3102,Teen Musical: The Movie,Musique,,500000.0,0.0,0.0,,,,2020
3103,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,Animation Action Comédie,,0.0,0.0,73.0,6.9,,,2022
3104,Teen Titans Go! See Space Jam,Animation Comédie Familial Fantastique Science-Fiction,,0.0,0.0,196.0,6.7,,,2021
3105,Teen Wolf : Le film,Action Fantastique TV Movie Téléfilm,United States of America,0.0,0.0,1386.0,7.65,Russell Mulcahy,"Tyler Posey, Crystal Reed, Holland Roden, Tyler Hoechlin, Shelley Hennig",2023
3106,Teenage Badass,Comédie,,500000.0,0.0,2.0,3.5,,,2020
3107,Tell It Like a Woman,Action Aventure Drame Animation,,21000000.0,0.0,7.0,5.29,,,2022
3108,Tempting Hearts,Romance Comédie Drame,,0.0,1530000.0,1.0,7.0,,,2021
3109,Tenant,Comédie,,1000000.0,0.0,0.0,,,,2021
3110,Tender Is the Kiss,Mystère Romance,,50000.0,0.0,0.0,,,,2020
3111,Tenet,Action Thriller Science-Fiction,"United Kingdom, United States of America",205000000.0,365304105.0,19598.0,7.18,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Kenneth Branagh, Dimple Kapadia",2020
3112,Tenor,Comédie Drame,,0.0,0.0,197.0,7.21,,,2022
3113,Tentacles,Horreur Romance,,0.0,0.0,93.0,6.1,,,2021
3114,Terra de telers,Drame,,120000.0,0.0,1.0,6.5,,,2020
3115,Terrible Jungle,Comédie Aventure,,0.0,0.0,863.0,5.2,"Hugo Benamozig, David Caviglioli","Catherine Deneuve, Vincent Dedienne, Alice Belaïdi",2020
3116,Terrifier 2,Horreur Thriller,United States of America,250000.0,15741780.0,3299.0,6.79,Damien Leone,"David Howard Thornton, Lauren LaVera, Elliott Fullam, Sarah Voigt, Kailey Hyman",2022
3117,Terrifier 3,Horreur Thriller,United States of America,2000000.0,90322103.0,1626.0,6.84,Damien Leone,"Lauren LaVera, David Howard Thornton, Samantha Scaffidi, Elliott Fullam, Margaret Anne Florence",2024
3118,Terror Trips,Horreur Thriller,,149000.0,0.0,558.0,3.5,Jeff Seemann,"Hannah Fierman, Chaney Morrow, L.C. Holt",2022
3119,Tesla,Historique Drame,,5000000.0,459051.0,228.0,5.8,,,2020
3120,Tetris,Thriller Historique Drame Histoire,United Kingdom,0.0,0.0,1551.0,7.68,Jon S. Baird,"Taron Egerton, Никита Ефремов, Софья Лебедева, Anthony Boyle, Ben Miles",2023
3121,Thallumaala,Comédie Drame Action,,2450634.0,8824658.0,16.0,6.9,Khalid Rahman,"Tovino Thomas, Kalyani Priyadarshan, Shine Tom Chacko",2022
3122,Thana Sadar,,,470778.0,18.0,0.0,,,,2021
3123,Thanksgiving : La Semaine de l'horreur,Horreur Mystère,United States of America,15000000.0,46553280.0,1366.0,6.52,Eli Roth,"Patrick Dempsey, Nell Verlaque, Addison Rae, Ty Olsson, Gina Gershon",2023
3124,That Girl,,,137165.0,0.0,0.0,,,,2022
3125,The 100 Candles Game,Horreur,,0.0,252494.0,94.0,5.7,,,2020
3126,The 2nd,Action,,0.0,0.0,100.0,5.6,Brian Skiba,"Ryan Phillippe, Casper Van Dien, Jack Griffo",2020
3127,The 30 Days,Thriller Mystère,,1000000.0,0.0,0.0,,,,2023
3128,The 8th Night,Mystère Thriller Horreur,,0.0,0.0,96.0,6.11,,,2021
3129,The ABCs of Love,Comédie,,0.0,2033629.0,120.0,6.5,,,2020
3130,The ARK,Science-Fiction Drame,,50000.0,0.0,2.0,4.5,,,2022
3131,The Academy of Magic,Familial Animation Fantastique,,12000000.0,0.0,42.0,7.3,,,2020
3132,The Accusation,Drame,,0.0,0.0,109.0,7.1,,,2021
3133,The Advent Calendar,Horreur Thriller Drame,,0.0,456555.0,307.0,6.7,,,2021
3134,The Alpha Test,Science-Fiction Thriller,,0.0,0.0,756.0,5.6,Aaron Mirtes,"Rae Hunt, Bella Martin, Deborah Seidel",2021
3135,The Alpinist,Documentaire Aventure,,0.0,1218734.0,81.0,7.9,"Peter Mortimer, Nick Rosen","Marc-André Leclerc, Peter Mortimer, Alex Honnold",2021
3136,The Alto Knights,Policier Drame Histoire,United States of America,45000000.0,9579515.0,235.0,6.33,Barry Levinson,"Robert De Niro, Debra Messing, Cosmo Jarvis, Kathrine Narducci, Michael Rispoli",2025
3137,The Amateur,Thriller Action,United States of America,60000000.0,95956038.0,682.0,6.99,James Hawes,"Rami Malek, Holt McCallany, Danny Sapani, Rachel Brosnahan, Michael Stuhlbarg",2025
3138,The Amazing Maurice,Animation Aventure Comédie Familial Fantastique,,17000000.0,3901839.0,31.0,6.39,"Toby Genkel, Florian Westermann","Hugh Laurie, Emilia Clarke, David Thewlis",2022
3139,The Ambush,Action Drame Guerre,,40000000.0,5218666.0,14.0,6.6,,,2021
3140,The American,Drame,,0.0,324522.0,8.0,7.3,,,2023
3141,The Amusement Park,Horreur Drame,,0.0,0.0,59.0,6.4,,,2021
3142,The Anchor,Thriller Mystère Horreur,,0.0,1300000.0,15.0,5.6,,,2022
3143,The Angel in the Wall,Thriller Horreur,,3000000.0,0.0,7.0,7.5,,,2021
3144,The Ant - The Love and The Girl in Between,Drame Romance Fantastique Familial,,300000.0,300000.0,0.0,,,,2020
3145,The Arch,Documentaire,,1000000.0,0.0,0.0,,,,2021
3146,The Ark and the Aardvark,Familial Animation,,35000000.0,0.0,0.0,,,,2024
3147,The Assent,Horreur Thriller,,0.0,0.0,205.0,6.0,,,2020
3148,The Assistant,Drame,,0.0,1338881.0,346.0,6.4,,,2020
3149,The Author,Documentaire,,50000.0,0.0,0.0,,,,2021
3150,"The Author, The Star and The Keeper",Drame Familial,,250000.0,0.0,3.0,8.3,,,2020
3151,The Available Wife,Drame,,500000.0,0.0,0.0,,,,2020
3152,The Babysitter : Killer Queen,Comédie Horreur,United States of America,0.0,0.0,3068.0,6.34,McG,"Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell",2020
3153,The Bachelorette Party,Comédie,,0.0,0.0,83.0,5.5,,,2021
3154,The Bad Poet,Historique Drame,,0.0,0.0,662.0,6.3,Gianluca Jodice,"Sergio Castellitto, Francesco Patanè, Tommaso Ragno",2021
3155,The Ballad of Lucy Sands,Historique Mystère Policier Thriller,,100000.0,0.0,0.0,,,,2024
3156,The Ballad of Piargy,Drame,,1997041.0,0.0,0.0,,,,2022
3157,The Ballad of Wallis Island,Comédie Drame Musique,United Kingdom,0.0,736965.0,44.0,7.12,James Griffiths,"Tom Basden, Tim Key, Carey Mulligan, Sian Clifford, Akemnji Ndifornyen",2025
3158,The Banishing,Horreur,,0.0,0.0,89.0,5.4,,,2021
3159,The Banker,Drame,United States of America,0.0,0.0,1674.0,7.62,George Nolfi,"Anthony Mackie, Samuel L. Jackson, Nicholas Hoult, Nia Long, Jessie T. Usher",2020
3160,The Batman,Policier Mystère Thriller,United States of America,185000000.0,772319315.0,19185.0,7.68,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano",2022
3161,The Battle at Lake Changjin,Drame Guerre,,200000000.0,902540935.0,56.0,6.3,,,2021
3162,The Battle at Lake Changjin: Water Gate Bridge,Guerre Historique Action Drame,,200000000.0,626203271.0,37.0,7.0,,,2022
3163,The Bay of Silence,Thriller,,0.0,1941.0,86.0,4.5,,,2020
3164,The Bayou,Thriller Horreur Action,United Kingdom,0.0,0.0,97.0,6.02,"Taneli Mustonen, Brad Watson","Elisha Applebaum, Madalena Aragão, David Newman, Sarah Priddy, Andonis Anthony",2025
3165,The Beach House,Drame Horreur Mystère,,0.0,0.0,74.0,5.5,,,2020
3166,The Beach of Enchaquirados,Documentaire,,161292.0,0.0,0.0,,,,2021
3167,The Bearer of Sorrows,Drame Documentaire,,850000.0,0.0,0.0,,,,2021
3168,The Beast,Policier,,0.0,0.0,242.0,6.3,Ludovico Di Martino,"Fabrizio Gifuni, Lino Musella, Monica Piseddu",2020
3169,The Beasts,Thriller Drame,,0.0,0.0,289.0,7.52,,,2022
3170,The Beatles: Get Back - The Rooftop Concert,Musique Documentaire,,0.0,500000.0,11.0,8.0,,,2022
3171,The Beekeeper,Action Policier Thriller,"United Kingdom, United States of America",35000000.0,152720535.0,6285.0,7.35,David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson, Jeremy Irons",2024
3172,The Best Years,Romance Drame Historique,,0.0,0.0,358.0,6.8,,,2020
3173,The Beta Test,Thriller Horreur Comédie,,0.0,0.0,146.0,6.3,"Jim Cummings, PJ McCabe","Jim Cummings, Virginia Newcomb, PJ McCabe",2021
3174,The Big 4,Action Comédie Policier,,0.0,0.0,138.0,7.1,,,2022
3175,The Big Hit,Comédie Drame,,0.0,0.0,132.0,7.2,,,2020
3176,The Big Step,Comédie Science-Fiction,,0.0,0.0,63.0,6.8,,,2020
3177,The Big Ugly,Thriller,,0.0,0.0,77.0,5.2,,,2020
3178,The Biggest Fan,Comédie,,0.0,0.0,64.0,5.6,,,2022
3179,The Binding,Horreur Thriller Drame,,0.0,0.0,214.0,5.44,Domenico de Feudis,"Riccardo Scamarcio, Mía Maestro, Giulia Patrignani",2020
3180,The Binge,Comédie,,0.0,0.0,59.0,5.7,Jeremy Garelick,"Vince Vaughn, Skyler Gisondo, Dexter Darden",2020
3181,The Blackening,Horreur Comédie,United States of America,5000000.0,16000000.0,341.0,6.0,Tim Story,"Grace Byers, Jermaine Fowler, Melvin Gregg, X Mayo, Dewayne Perkins",2023
3182,The Blanket,Drame,,275000.0,0.0,0.0,,,,2022
3183,The Blind Man Who Did Not Want to See Titanic,Drame Romance Thriller,,400000.0,0.0,14.0,7.4,,,2022
3184,The Block Island Sound,Horreur Science-Fiction,,0.0,0.0,178.0,5.3,,,2021
3185,The Bob's Burgers Movie,Animation Aventure Comédie,,38000000.0,34148750.0,206.0,7.1,,,2022
3186,The Book of Solutions,Comédie Drame,,0.0,0.0,132.0,6.17,,,2023
3187,The Boss Baby: Get That Baby!,Comédie Familial Animation,,0.0,0.0,56.0,6.6,,,2020
3188,The Box,Musique Drame,,20000000.0,0.0,9.0,5.3,,,2021
3189,The Boy Behind The Door,Horreur,,0.0,0.0,153.0,6.6,,,2020
3190,The Boy Who Killed My Parents,Policier Drame Thriller,,0.0,0.0,155.0,6.4,Mauricio Eça,"Carla Diaz, Leonardo Bittencourt, Allan Souza Lima",2021
3191,The Boy from Medellín,Documentaire Musique,,0.0,0.0,82.0,5.9,,,2020
3192,The Boys Who Said No!,Documentaire,,800000.0,0.0,0.0,,,,2020
3193,The Boys in the Band,Drame,,0.0,0.0,373.0,6.8,Joe Mantello,"Jim Parsons, Zachary Quinto, Matt Bomer",2020
3194,The Bridge Curse,Horreur Thriller Mystère,,0.0,0.0,65.0,6.6,Lester Hsi,"Ning Chang, Joe Hsieh, Cheng Ko",2020
3195,The Broken Candle,Animation Familial,,52000.0,0.0,0.0,,,,2020
3196,The Broken Glass Theory,Comédie,,800000.0,0.0,7.0,6.9,,,2021
3197,The Broken Ground,Documentaire Historique,,150000.0,0.0,0.0,,,,2022
3198,The Broken Hearts Gallery,Comédie Romance,,0.0,0.0,255.0,7.2,,,2020
3199,The Brutalist,Drame,"United Kingdom, United States of America",9600000.0,50145227.0,1135.0,7.01,Brady Corbet,"Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy",2024
3200,The Bubble,Comédie,,0.0,0.0,329.0,4.7,,,2022
3201,The Bunker Game,Horreur Mystère Thriller,,0.0,0.0,65.0,5.1,,,2022
3202,The Burial,Comédie Drame,,0.0,0.0,127.0,7.39,,,2023
3203,The Burning Sea,Action Drame Thriller,,8300000.0,2836382.0,144.0,6.7,,,2021
3204,The Burnt Orange Heresy,Thriller,,0.0,0.0,134.0,5.7,,,2020
3205,The Butcher’s Daughter,Romance Comédie,,4982250.0,0.0,36.0,5.7,,,2022
3206,The Call,Thriller Mystère Science-Fiction,South Korea,0.0,0.0,1543.0,7.53,이충현,"Park Shin-hye, 전종서, 김성령, 이엘, 박호산",2020
3207,The Call,Horreur Thriller,,0.0,791762.0,130.0,7.1,Chung-Hyun Lee,"Park Shin-hye, Jeon Jong-seo, Kim Sung-ryung",2020
3208,The Calm Beyond,Science-Fiction Thriller,,0.0,0.0,54.0,7.7,,,2020
3209,The Camp,Action Familial Comédie,,450000.0,0.0,8.0,8.1,,,2021
3210,The Card Counter,Policier Thriller Drame,,0.0,4546332.0,715.0,6.21,Paul Schrader,"Oscar Isaac, Tiffany Haddish, Tye Sheridan",2021
3211,The Cat,Animation Guerre,,50000.0,0.0,0.0,,,,2020
3212,The Catholic School,Drame,,0.0,0.0,319.0,6.2,Stefano Mordini,"Benedetta Porcaroli, Giulio Pranno, Emanuele Maria Di Stefano",2021
3213,The Cellar,Horreur Mystère,,0.0,0.0,342.0,6.7,,,2022
3214,The Central Authority,Comédie,,74000.0,0.0,0.0,,,,2021
3215,The Chalk Line,Horreur Thriller Mystère,,0.0,0.0,195.0,6.4,,,2022
3216,The Champion of Auschwitz,Drame Historique,,0.0,0.0,148.0,7.8,,,2021
3217,The Chef,Drame Thriller,"United Kingdom, Australia, Germany",0.0,0.0,917.0,7.27,Philip Barantini,"Stephen Graham, Vinette Robinson, Alice May Feetham, Jason Flemyng, Hannah Walters",2021
3218,The Cinderella Addiction,Drame Policier,,0.0,421202.0,2.0,6.5,,,2021
3219,The City of Wild Beasts,Drame,,550000.0,0.0,6.0,7.3,,,2021
3220,The Claus Family,Familial Fantastique,,0.0,0.0,101.0,5.87,,,2020
3221,The Cleansing Hour,Horreur,,0.0,0.0,101.0,6.3,,,2020
3222,The Closet,Horreur Thriller,,0.0,0.0,137.0,7.29,Kwang-bin Kim,"Ha Jung-woo, Yool Heo, Kim Nam-gil",2020
3223,The Codes of War,Action Guerre,,0.0,0.0,61.0,6.18,"Paul Anderson, Joshua DeFour, Marielle Woods","Noah Gray-Cabey, Michael Grant",2025
3224,The Colony,Science-Fiction,,0.0,0.0,150.0,5.7,,,2021
3225,The Colors Within,Animation Drame Musique,Japan,0.0,1470214.0,37.0,6.86,山田尚子,"鈴川紗由, 髙石あかり, 木戸大聖, Yui Aragaki, Aoi Yūki",2024
3226,The Colors of Fire,Historique Drame,,0.0,0.0,60.0,7.2,,,2022
3227,The Comeback Trail,Comédie Policier,,0.0,0.0,212.0,5.8,,,2020
3228,The Commando,Action Policier Thriller,,0.0,0.0,97.0,5.8,,,2022
3229,The Commune,Documentaire,,235500.0,0.0,0.0,,,,2020
3230,The Confidence Man JP – Episode of the Princess –,Comédie Mystère,,0.0,35762324.0,13.0,7.1,,,2020
3231,The Contractor,Action Aventure Thriller,"United Kingdom, United States of America",0.0,2122288.0,1721.0,6.39,Tarik Saleh,"Chris Pine, Kiefer Sutherland, Ben Foster, Gillian Jacobs, Sander Thomas",2022
3232,The Cost of Deception,Policier Drame,,2500000.0,201000.0,16.0,3.5,,,2021
3233,The Cost of Denial,Documentaire,,75000.0,0.0,0.0,,,,2021
3234,The Council,Policier,,50000.0,0.0,75.0,10.0,JayTee Thompson,"Brandon Michael Thomas, JayTee Thompson, Kendon Tillis",2020
3235,The Covenant,Guerre Action Thriller,"United Kingdom, United States of America",55000000.0,21948551.0,3444.0,7.73,Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong, Rhys Yates",2023
3236,The Craft : Les Nouvelles Sorcières,Horreur Drame Fantastique,United States of America,18000000.0,2300000.0,1492.0,6.19,Zoe Lister-Jones,"Cailee Spaeny, Zoey Luna, Gideon Adlon, Lovie Simone, David Duchovny",2020
3237,The Creator,Science-Fiction Action Thriller Aventure,"Canada, United States of America",80000000.0,104272136.0,4187.0,7.08,Gareth Edwards,"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney, 渡辺謙",2023
3238,The Crimes That Bind,Thriller Policier Drame,,0.0,0.0,189.0,6.7,Sebastián Schindel,"Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo",2020
3239,The Crossing,Animation Drame Aventure,,3000000.0,0.0,11.0,6.5,,,2021
3240,The Crow,Fantastique Action Horreur Thriller,"France, Germany, United Kingdom, United States of America",50000000.0,24109036.0,1114.0,5.85,Rupert Sanders,"Bill Skarsgård, FKA twigs, Danny Huston, Josette Simon, Laura Birn",2024
3241,The Crypt Monster,Comédie Horreur,,0.0,3962.0,62.0,4.8,,,2021
3242,The Curse of Bridge Hollow,Aventure Comédie Horreur Familial,,0.0,0.0,326.0,6.77,,,2022
3243,The Cursed,Horreur Fantastique Mystère,,0.0,4588389.0,204.0,6.8,,,2021
3244,The Cursed: Dead Man's Prey,Thriller Mystère Horreur,,0.0,0.0,108.0,7.66,,,2021
3245,The Dalton Gang,Western,,500000.0,0.0,276.0,4.5,Christopher Forbes,"William Adams, Jezibell Anat, Gunner Bridger",2020
3246,The Dark Within,Horreur,,220000.0,0.0,2.0,5.5,,,2020
3247,The Dark and the Wicked,Horreur Drame Mystère,,0.0,289157.0,298.0,6.1,Bryan Bertino,"Marin Ireland, Michael Abbott Jr., Julie Oliver-Touchstone",2020
3248,The Dawning of the Day,Drame,,350000.0,0.0,0.0,,,,2021
3249,The Dead Ones,Horreur,,600000.0,0.0,7.0,5.1,,,2020
3250,The Decline,Thriller,,0.0,0.0,370.0,6.2,Patrice Laliberté,"Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé",2020
3251,The Deep House,Horreur Mystère,"Belgium, France, United States of America",0.0,1900000.0,1815.0,6.09,"Alexandre Bustillo, Julien Maury","James Jagger, Camille Rowe, Eric Savin, Carolina Massey, Alexis Servaes",2021
3252,The Deep Ones,Horreur Science-Fiction,,500000.0,0.0,973.0,4.3,Chad Ferrin,"Gina La Piana, Robert Miano, Johann Urb",2021
3253,The Definition of Insanity,Documentaire,,560000.0,0.0,25.0,8.3,Gabriel London,Steve Leifman,2020
3254,The Desperate Hour,Thriller,,0.0,0.0,314.0,6.1,,,2021
3255,The Devil Below,Horreur Thriller,,0.0,0.0,67.0,5.1,,,2021
3256,The Devil's Child,Horreur,,300000.0,0.0,387.0,7.3,David Bohorquez,"Francisca Estevez, Fiona Horsey, Marvens Passiano",2022
3257,The Devil's Mark,Horreur,,0.0,0.0,173.0,4.6,,,2020
3258,The Dig,Drame Historique,,0.0,0.0,998.0,6.9,,,2021
3259,The Disney Family Singalong,Familial Fantastique,,10000000.0,0.0,11.0,8.3,,,2020
3260,The Disruptors,Documentaire,,1300000.0,0.0,0.0,,,,2021
3261,The Dissident,Documentaire,,0.0,57000.0,74.0,7.8,Bryan Fogel,"Jamal Khashoggi, Omar Abdulaziz, Irfan Fidan",2020
3262,The Divide,Drame,,5000000.0,2178083.0,104.0,6.8,,,2021
3263,The Djinn,Horreur Thriller,,0.0,0.0,121.0,5.9,,,2021
3264,The Doorman,Action Thriller,,0.0,307873.0,344.0,5.9,,,2020
3265,The Dreamer,Drame Romance,,1200000.0,0.0,0.0,,,,2023
3266,The Dry,Policier Thriller Mystère,,0.0,17424378.0,459.0,6.79,,,2021
3267,The Duke,Comédie Drame Historique,,11000000.0,0.0,190.0,7.09,Roger Michell,"Matthew Goode, Helen Mirren, Anna Maxwell Martin",2021
3268,The Dunes,Thriller,,55000.0,0.0,3.0,4.7,,,2021
3269,The Eight Hundred,Guerre Historique Drame Action,,80000000.0,460919368.0,188.0,7.1,,,2020
3270,The Eight Mountains,Drame,,0.0,9494985.0,240.0,7.9,,,2022
3271,The Electric State,Science-Fiction Aventure Action,United States of America,320000000.0,0.0,1241.0,6.54,"Joe Russo, Anthony Russo","Millie Bobby Brown, Chris Pratt, Ke Huy Quan, Jason Alexander, Woody Norman",2025
3272,The Electrical Life of Louis Wain,Drame Historique Comédie,,0.0,0.0,339.0,7.0,Will Sharpe,"Benedict Cumberbatch, Claire Foy, Andrea Riseborough",2021
3273,The Eleventh Chapter,Drame,,200000.0,0.0,13.0,7.0,,,2021
3274,The Embryo Who Came in from the Cold,Animation,,2000000.0,0.0,0.0,,,,2020
3275,The Emigrants,Drame Historique,,11000000.0,0.0,15.0,6.0,,,2021
3276,The Empty Man,Horreur Mystère Thriller,"South Africa, United States of America",16000000.0,4796993.0,1464.0,6.2,David Prior,"James Badge Dale, Marin Ireland, Sasha Frolova, Samantha Logan, Evan Jonigkeit",2020
3277,The End,Comédie,,220000.0,0.0,1.0,8.0,,,2021
3278,The Enforcer,Action Thriller Drame Policier,United States of America,1261569.0,0.0,691.0,7.18,Richard Hughes,"Antonio Banderas, Kate Bosworth, Mojean Aria, Alexis Ren, Zolee Griggs",2022
3279,The Escape from Auschwitz,Drame,,1233775.0,0.0,392.0,3.5,Terry Lee Coker,"Elliot Cable, Paul Joseph Bonnici, Alex Reece",2020
3280,The Estate,Comédie Drame,,0.0,572062.0,441.0,5.6,James Kapner,"Eliza Coupe, Greg Finley, Chris Baker",2022
3281,The Ex,Horreur Thriller,,744835.0,0.0,105.0,6.9,,,2021
3282,The Exorcism,Horreur Thriller,,22000000.0,6354317.0,110.0,4.57,Joshua John Miller,"Russell Crowe, Ryan Simpkins, Sam Worthington",2024
3283,The Exorcism in Amarillo,Horreur,,50000.0,0.0,1.0,4.0,,,2020
3284,The Exorcism of Carmen Farias,Horreur,,0.0,1474579.0,360.0,6.1,Rodrigo Fiallega,"Camila Sodi, Patricia Martínez, Patricia Morgado",2021
3285,The Exploits of Moominpappa – Adventures of a Young Moomin,Animation Familial,,1260000.0,0.0,3.0,7.0,,,2022
3286,The Extortion,Thriller Policier Drame,,0.0,0.0,119.0,7.4,,,2023
3287,The Eyes of Tammy Faye,Drame Historique,,0.0,2404127.0,449.0,6.6,,,2021
3288,The F**k-It List,Comédie,,5000000.0,0.0,438.0,6.1,,,2020
3289,The Fabelmans,Drame Comédie,United States of America,40000000.0,45629909.0,4329.0,7.64,Steven Spielberg,"Michelle Williams, Paul Dano, Seth Rogen, Gabriel LaBelle, Mateo Zoryan Francis-DeFord",2022
3290,The Fall Guy,Action Comédie Drame Romance,"United States of America, Australia",125000000.0,181073291.0,4652.0,7.09,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham, Teresa Palmer",2024
3291,The Fallout,Drame,United States of America,0.0,0.0,1890.0,7.61,Megan Park,"Jenna Ortega, Maddie Ziegler, Niles Fitch, Will Ropp, Lumi Pollack",2021
3292,The Family Plan,Action Comédie Familial,United States of America,0.0,0.0,1552.0,7.27,Simon Cellan Jones,"Mark Wahlberg, Michelle Monaghan, Margaret Denise Quigley, Zoe Colletti, Van Crosby",2023
3293,The Fantastic Journey of Margot & Marguerite,Comédie,,0.0,1822472.0,337.0,6.2,Pierre Coré,"Lila Gueneau, Alice Pol, Clovis Cornillac",2020
3294,The Father,Drame,"France, United Kingdom",6000000.0,21029340.0,5841.0,8.2,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",2020
3295,The Father Who Moves Mountains,Drame Thriller,,0.0,0.0,68.0,5.9,,,2021
3296,The Fever,Documentaire,,250000.0,0.0,0.0,,,,2020
3297,The Fever,Drame Mystère Thriller,,60000.0,0.0,5.0,6.1,,,2021
3298,The Fifth Story,Documentaire Guerre,,65000.0,0.0,0.0,,,,2020
3299,The First Slam Dunk,Animation Comédie Drame,,0.0,258000000.0,339.0,7.8,,,2022
3300,The Five Devils,Drame Fantastique Romance Thriller,,3370000.0,0.0,61.0,7.2,,,2022
3301,The Flash,Action Aventure Science-Fiction,United States of America,300000000.0,271333313.0,7878.0,6.73,Andy Muschietti,"Ezra Miller, Sasha Calle, Michael Keaton, Michael Shannon, Ron Livingston",2023
3302,The Foquita: El 10 de la Calle,Drame Familial,,0.0,912491.0,6.0,6.7,,,2020
